Domain,Job Title,Leadership,Communication,Teamwork,Problem Solving,Creativity,Adaptability,Work Ethic,Time Management,Interpersonal Skills,Attention to Detail,Initiative,Analytical Thinking,Emotional Intelligence,Integrity,Resilience,Cultural Awareness,Programming Languages,Technical Skills,Office Tools,Job Description
DIGITAL-MEDIA,DIRECTOR,2,0,3,3,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"Delivered marketing programs and sales tools enabling the field with accelerated go to market timeline. , State Implemented new go to market strategy with responsibility for management of cross functional teams totaling 50+ members. Lead member of core team tasked with developing next generation inkjet strategy and implementation plans."
DIGITAL-MEDIA,MEDIA ACTIVITIES SPECIALIST,2,0,0,3,0,0,2,3,0,2,0,1,0,0,2,1,0,0,0,"Summary Multi-Tasking Media Relations Results-oriented Strategic Initiatives Event Planning Writer & Editor Manager/Supervisor Flexibility Adaptable Highlights Greatly improved media coverage of press conferences and other events on campus Increased the frequency of newspaper, radio and television interviews featuring Chattanooga State administrators, faculty and staff Hosted popular television show that focused on campus and community events (1997-2004) Commissioned by local State Representative to produce a historical documentary on African American in the Tennessee Legislature from Reconstruction to Modern Times (2004) Created on-site Spanish language classes for Emergency Room personnel in local hospitals when Spanish speaking population began to expand in the area (1995) Accomplishments Led Chattanooga State to receive National Awards, the Bronze Paragon Award Notable speakers in the past have included Neil de Grasse Tyson, host of Cosmos: A Spacetime Odyssey, and theoretical physicist, Dr.Michio Kaku. Skills academic, ads, advertising, banners, brochures, budget, conferences, special events, market research, marketing, materials, newspaper, office manager, personnel, press, press releases, publication, radio, recruitment, scripts, strategy, strategic planning, television, website content Professional Affiliations National Council for Marketing and Public Relations (NCMPR) Tennessee College Public Relations Association (TCPRA) Lookout Chapter of the Public Relations Society of America American (PRSA) Advertising Federation Chattanooga (Ad Fed) Tennessee Screenwriters Association Education 1994 Master of Arts"
DIGITAL-MEDIA,SENIOR MANAGER,3,0,0,3,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,", State Created Customer Lifecycle Program generating a $256K annual lift amongst Active and At Risk customers Won back Lapsed customers through targeted promotional messaging at a 18% conversion rateÂ Piloted social advertising segmentation strategy driving a positive lift at a 551% Return on Ad Spend (ROAS) Overhauled affiliate strategy increasing ROAS 26%, revenue 4%, and brand mentions 480% Online Marketing Specialist , State Created over 400 US online marketing activities annually increasing related selling 21% YOY and 38% to plan Analyzed and optimized traffic across all online channels on a weekly basis Managed SEM budget to drive traffic and conversion based on forecasted selling Launched and led affiliate advertising pilot with 35% revenue growth Acquired over 35K emails per week through advertising, and in-store SMS program Global Digital Advertising & Analytics Coordinator , State Identified key drivers of brand health using Boolean data logic via social listening analytics softwareÂ Increased brand mentions on social media 45% through brand ambassador programs Awarded top mobile advertising campaigns of 2015 by Mobile Marketer for virtual eyewear try on Planned digital, mobile, and social advertising exceeding time spent and CTR industry benchmarks 300% Education and Training Bachelor of Science"
DIGITAL-MEDIA,DIGITAL PROJECT MANAGER,3,0,1,3,1,1,1,3,0,0,0,2,0,0,1,1,0,1,0,"Created metrics to evaluate: Who is visiting 6 Salon in digital and in social media spaces, what marketing channels are driving customers, which customers are best driving revenue, and what is the lifetime value of a customer. Created metrics to evaluate: Who is visiting 6 Salon in digital and in social media spaces, what marketing channels are driving customers, which customers are best driving revenue, and what is the lifetime value of a customer. Analysis of competitive and house brand marketing data focusing on the ""Got To Be"" Product line."
DIGITAL-MEDIA,MONITOR TECH,2,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,"Ability to perform duties under critical deadlines Accomplishments Quick learner Reports generation and analysis Computer proficient Microsoft Office Experience Company Name Page individuals to inform them of telephone calls, using paging or interoffice communication equipment. Confer with other supervisors to coordinate operations and activities within or between departments."
DIGITAL-MEDIA,COMMUNICATIONS SPECIALIST,2,0,2,2,1,0,0,3,2,0,0,3,0,0,0,1,0,0,3,"Skills Adobe Creative Suite 6, Microsoft Office, Windows applications, Multimedia production, Public relations, Media relations, Social media managing, Exceptional listener, Analytical/Research skill, Computer/Technical literacy, Flexibility/Adaptability/Managing multiple priorities, Leadership/Management skills, Multicultural Sensitivity/Awareness, Problem-Solving, Reasoning, Creativity, Teamwork. Provide service and support to staff/students with computer issues during production events. Have an understanding of iMovie, Final Cut Pro, Windows Movie Maker."
DIGITAL-MEDIA,SOCIAL MEDIA MARKETING MANAGER,2,0,0,3,0,0,0,1,2,0,3,3,0,0,0,1,0,0,0,"Summary Recent graduate with excellent research, time management, and problem solving skills. Analyze performance of all social media marketing programs to identify the best opportunities for optimization. Analyzed performance of all social media marketing programs to identify the best opportunities for optimization."
DIGITAL-MEDIA,EDITORIAL ASSISTANT,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,1,0,0,0,"Summary Focused Journalist successful in developing feature articles, short stories, editorial pieces and broadcast scripts. Act as the first point of contact for author's questions, concerns ect. , State Captured visual content and edited general assignment stories to be shown on air."
DIGITAL-MEDIA,SENIOR DIRECTOR,0,2,3,3,0,1,0,3,2,0,0,3,0,0,2,1,0,0,0,"Crafted media strategy track for the company's annual user conference, Brightcove PLAY, including presenting and moderating relevant sessions. Developed technical partnerships and business relationships with more than a dozen leading companies in the online ad industry. Brought to market Viewpoint's first commercial software product, a SaaS platform for rich media advertising development and deployment."
DIGITAL-MEDIA,DIGITAL MARKETING ASSOCIATE,2,0,3,3,0,0,2,1,2,2,0,0,0,2,0,0,0,0,0,"Summary Dynamic and highly enthusiastic individual with keen business acumen seeking a position in Marketing and Advertising to apply advanced customer service skills and uncommon creative mindset to bring a positive initiative to your business operations and an upward curve to your company revenue growth Skilled marketing professional focused on exceeding revenue goals, driving high-volume new user acquisition, and growing subscription-based businesses Well versed in all aspects of marketing campaigns from concept development to execution and launch Highly organized individual with strong knowledge of business organization and processes as well as management techniques who constantly strives for self-development and education welcoming every opportunity to expand intellectual, cultural, and professional horizons Highly competitive team player and multitasker seeking to positively contribute to overall team performance and the achievement of all established corporate objectives Efficient communicator with an uncommon ability to relate to people and provide excellent customer service Responsible professional with strong analytical skills and a proven ability to produce a range of solutions as well as work under stress still delivering good results Account Management Brand Development Sales Promotion Multi-Media Marketing Campaign Planning & Execution CRM & Profit Maximization Strategic Media Placement Market Analysis Customer Service Advertising Experience 05/2016 Create, oversee and audit social media pages, health directory profiles, Google Analytics, Call tracking, etc. Skills Advertising, agency, com, draw, client, clients, e-commerce, senior management, Google Analytics, managing, marketing, market, meetings, online marketing, page, progress, proposals, scheduling, social media platforms Additional Information"
